tourney_date,surface,tourney_level,best_of,winner_name,loser_name,winner_id,loser_id,winner_rank,loser_rank,winner_age,winner_ht,winner_hand,loser_age,loser_ht,loser_hand,round
20250101,Hard,A,3,Jiri Lehecka,Yoshihito Nishioka,208103,106415,28,69,23.148528405201915,185.0,R,29.26488706365503,170.0,L,2nd Round
20250101,Hard,A,3,Nicolas Jarry,Benjamin Bonzi,111797,126127,35,75,29.22655715263518,201.0,R,28.56399726214921,183.0,R,2nd Round
20250101,Hard,A,3,Grigor Dimitrov,Aleksandar Vukic,105777,126846,10,68,33.63175906913073,191.0,R,28.739219712525667,188.0,R,2nd Round
20250101,Hard,A,3,James Thompson,Alex Michelsen,107270,210506,26,41,,,R,20.35318275154004,193.0,R,2nd Round
20250101,Hard,A,3,Kei Nishikori,Karen Khachanov,105453,111575,106,19,35.00889801505818,178.0,R,28.61601642710472,198.0,R,2nd Round
20250101,Hard,A,3,Arthur Fils,Zizou Bergs,209950,200267,20,71,20.555783709787818,185.0,R,25.582477754962355,185.0,R,2nd Round
20250101,Hard,A,3,Cameron Norrie,Lorenzo Sonego,111815,132283,49,53,29.360711841204655,188.0,L,29.645448323066393,191.0,R,2nd Round
20250101,Hard,A,3,Alexandre Muller,Miomir Kecmanovic,124186,200175,67,54,27.915126625598905,183.0,R,25.338809034907598,183.0,R,2nd Round
20250102,Hard,A,3,Fabian Marozsan,Andrey Rublev,206681,126094,58,8,25.23750855578371,193.0,R,27.20328542094456,188.0,R,2nd Round
20250102,Hard,A,3,Juncheng Shang,Pablo Martinez,209992,103492,50,43,19.915126625598905,180.0,L,44.96646132785763,,R,2nd Round
20250102,Hard,A,3,Lorenzo Musetti,Gabriel Diallo,207518,209113,17,87,22.836413415468858,185.0,R,23.274469541409992,203.0,R,2nd Round
20250102,Hard,A,3,Jaume Munar,Nuno Borges,144719,132686,62,36,27.66324435318275,183.0,R,27.86858316221766,185.0,R,2nd Round
20250102,Hard,A,3,Jakub Mensik,Dusan Lajovic,210084,105583,48,81,19.33744010951403,,U,34.510609171800134,183.0,R,2nd Round
20250102,Hard,A,3,Reilly Opelka,Matteo Arnaldi,124187,208286,293,37,27.34839151266256,211.0,R,23.860369609856264,185.0,R,2nd Round
20250102,Hard,A,3,Mpetshi G.,Frances Tiafoe,-1,126207,31,18,,,,26.951403148528406,188.0,R,2nd Round
20250102,Hard,A,3,Novak Djokovic,Gael Monfils,104925,104792,7,55,37.61806981519507,188.0,R,38.338124572210816,193.0,R,2nd Round
20250103,Hard,A,3,Jiri Lehecka,Nicolas Jarry,208103,111797,28,35,23.15400410677618,185.0,R,29.232032854209447,201.0,R,Quarterfinals
20250103,Hard,A,3,Mpetshi G.,Jakub Mensik,-1,210084,31,48,,,,19.340177960301162,,U,Quarterfinals
20250103,Hard,A,3,Reilly Opelka,Novak Djokovic,124187,104925,293,7,27.351129363449694,211.0,R,37.620807665982205,188.0,R,Quarterfinals
20250103,Hard,A,3,Alexandre Muller,Arthur Fils,124186,209950,67,20,27.920602327173167,183.0,R,20.56125941136208,185.0,R,Quarterfinals
20250103,Hard,A,3,Kei Nishikori,Cameron Norrie,105453,111815,106,49,35.01437371663244,178.0,R,29.366187542778917,188.0,L,Quarterfinals
